"","codigo","municipio","estado","ano","populacao_atendida_abst_agua_numhab","vol_produzido_ano_1000","vol_tratado_ano_1000","populacao_urbana_abst_agua_numhab"
"1",220005,"Acauã","PI",2015,1563,78.59,78.59,903
"2",220025,"Alagoinha do Piauí","PI",2015,3316,198.73,0,2659
"3",220027,"Alegrete do Piauí","PI",2015,4832,56.5,0,2660
"4",220045,"Alvorada do Gurguéia","PI",2015,3954,450,19,1922
"5",220070,"Anísio de Abreu","PI",2015,6086,346.51,0,4631
"6",220090,"Aroazes","PI",2015,4192,282.41,0,3335
"7",220095,"Aroeiras do Itaim","PI",2015,NA,NA,NA,NA
"8",220105,"Assunção do Piauí","PI",2015,3378,398.7,0,3378
"9",220110,"Avelino Lopes","PI",2015,7873,578.37,578.37,6763
"10",220155,"Bela Vista do Piauí","PI",2015,NA,NA,NA,NA
"11",220157,"Belém do Piauí","PI",2015,2148,111.58,111.58,1649
"12",220170,"Bertolínia","PI",2015,4804,361.5,0,3856
"13",220173,"Betânia do Piauí","PI",2015,NA,NA,NA,NA
"14",220180,"Bocaina","PI",2015,2355,169.43,0,1729
"15",220190,"Bom Jesus","PI",2015,23447,1993.79,0,18471
"16",220192,"Bonfim do Piauí","PI",2015,1436,89.43,89.43,1436
"17",220198,"Brejo do Piauí","PI",2015,2033,136.04,0,1398
"18",220202,"Buriti dos Montes","PI",2015,5598,1314,0,2486
"19",220207,"Cajazeiras do Piauí","PI",2015,NA,NA,NA,NA
"20",220209,"Caldeirão Grande do Piauí","PI",2015,NA,NA,NA,NA
"21",220210,"Campinas do Piauí","PI",2015,2259,165.12,0,1794
"22",220211,"Campo Alegre do Fidalgo","PI",2015,NA,NA,NA,NA
"23",220213,"Campo Grande do Piauí","PI",2015,2810,169.26,0,1587
"24",220225,"Canavieira","PI",2015,2064,137.1,0,1687
"25",220230,"Canto do Buriti","PI",2015,13866,1147.07,0,11220
"26",220245,"Capitão Gervásio Oliveira","PI",2015,1201,135.9,0,1201
"27",220250,"Caracol","PI",2015,3109,193.18,0,3109
"28",220255,"Caridade do Piauí","PI",2015,2127,105.55,0,1593
"29",220260,"Castelo do Piauí","PI",2015,13278,902.82,0,11085
"30",220275,"Colônia do Gurguéia","PI",2015,2357,171.71,0,2357
"31",220277,"Colônia do Piauí","PI",2015,3348,235.89,0,2610
"32",220280,"Conceição do Canindé","PI",2015,3245,248.26,0,2335
"33",220285,"Coronel José Dias","PI",2015,2460,163.01,163.01,1473
"34",220310,"Cristino Castro","PI",2015,7883,523.94,0,7246
"35",220320,"Curimatá","PI",2015,9547,696,561.78,7138
"36",220323,"Currais","PI",2015,NA,NA,NA,NA
"37",220327,"Curral Novo do Piauí","PI",2015,1585,81.02,0,1404
"38",220335,"Dirceu Arcoverde","PI",2015,2516,143.4,143.4,2374
"39",220340,"Dom Expedito Lopes","PI",2015,4437,238.64,0,3582
"40",220342,"Domingos Mourão","PI",2015,1297,92.3,0,940
"41",220345,"Dom Inocêncio","PI",2015,NA,NA,NA,NA
"42",220360,"Eliseu Martins","PI",2015,4638,371.73,0,3839
"43",220375,"Fartura do Piauí","PI",2015,NA,NA,NA,NA
"44",220380,"Flores do Piauí","PI",2015,2504,153.08,0,1950
"45",220385,"Floresta do Piauí","PI",2015,NA,NA,NA,NA
"46",220415,"Francisco Macedo","PI",2015,NA,NA,NA,NA
"47",220420,"Francisco Santos","PI",2015,4088,241.53,0,4088
"48",220430,"Fronteiras","PI",2015,9126,514.78,514.78,7269
"49",220435,"Geminiano","PI",2015,NA,NA,NA,NA
"50",220455,"Guaribas","PI",2015,2340,136.2,0,1265
"51",220470,"Inhuma","PI",2015,9923,614.95,0,7193
"52",220480,"Ipiranga do Piauí","PI",2015,6228,417.14,0,5766
"53",220490,"Isaías Coelho","PI",2015,2749,206.19,0,1859
"54",220500,"Itainópolis","PI",2015,3834,285.66,0,2521
"55",220510,"Itaueira","PI",2015,8119,537.98,0,5882
"56",220515,"Jacobina do Piauí","PI",2015,2608,166.92,0,992
"57",220520,"Jaicós","PI",2015,8856,366.42,366.42,8583
"58",220535,"João Costa","PI",2015,2300,1500,0,702
"59",220551,"Juazeiro do Piauí","PI",2015,1851,122.68,0,1631
"60",220552,"Júlio Borges","PI",2015,2133,129.98,0,1618
"61",220553,"Jurema","PI",2015,2525,155.01,0,871
"62",220556,"Lagoa do Barro do Piauí","PI",2015,NA,NA,NA,NA
"63",220557,"Lagoa de São Francisco","PI",2015,NA,NA,NA,NA
"64",220559,"Lagoa do Sítio","PI",2015,NA,NA,NA,NA
"65",220590,"Manoel Emídio","PI",2015,3971,286.77,0,3263
"66",220595,"Marcolândia","PI",2015,NA,NA,NA,NA
"67",220605,"Massapê do Piauí","PI",2015,NA,NA,NA,NA
"68",220635,"Milton Brandão","PI",2015,4758,140,0,1500
"69",220650,"Monsenhor Hipólito","PI",2015,4084,177.59,0,3488
"70",220665,"Morro Cabeça no Tempo","PI",2015,NA,NA,NA,NA
"71",220670,"Nazaré do Piauí","PI",2015,3394,177.11,0,3394
"72",220690,"Novo Oriente do Piauí","PI",2015,4179,270.17,0,3190
"73",220700,"Oeiras","PI",2015,22065,1777.13,1777.13,22065
"74",220720,"Padre Marcos","PI",2015,4467,283.78,283.78,2324
"75",220730,"Paes Landim","PI",2015,3065,225.07,0,2323
"76",220735,"Pajeú do Piauí","PI",2015,1650,100,13,1403
"77",220740,"Palmeira do Piauí","PI",2015,1701,98.5,0,1701
"78",220755,"Paquetá","PI",2015,759,53.7,0,511
"79",220777,"Patos do Piauí","PI",2015,2346,150.18,150.18,1688
"80",220780,"Paulistana","PI",2015,14048,944.63,944.63,10590
"81",220785,"Pavussu","PI",2015,2601,169.04,0,1736
"82",220790,"Pedro II","PI",2015,27978,1633.91,365.16,22429
"83",220793,"Pedro Laurentino","PI",2015,NA,NA,NA,NA
"84",220795,"Nova Santa Rita","PI",2015,962,66.67,0,703
"85",220800,"Picos","PI",2015,75076,4891.17,0,59273
"86",220810,"Pimenteiras","PI",2015,6002,430.75,0,4747
"87",220820,"Pio IX","PI",2015,7432,435.63,435.63,5273
"88",220830,"Piracuruca","PI",2015,24795,1124.89,1124.89,19179
"89",220865,"Queimada Nova","PI",2015,NA,NA,NA,NA
"90",220870,"Redenção do Gurguéia","PI",2015,NA,NA,NA,NA
"91",220887,"Ribeira do Piauí","PI",2015,NA,NA,NA,NA
"92",220900,"Rio Grande do Piauí","PI",2015,4771,255.35,0,4028
"93",220910,"Santa Cruz do Piauí","PI",2015,4866,344.6,0,4031
"94",220915,"Santa Cruz dos Milagres","PI",2015,3926,181.77,0,2201
"95",220930,"Santa Luz","PI",2015,3588,220.66,0,3144
"96",220935,"Santana do Piauí","PI",2015,2099,160.02,0,1747
"97",220937,"Santa Rosa do Piauí","PI",2015,4658,260.67,0,3584
"98",220940,"Santo Antônio de Lisboa","PI",2015,4316,317.68,0,3973
"99",220950,"Santo Inácio do Piauí","PI",2015,3037,181.37,0,2283
"100",220955,"São Braz do Piauí","PI",2015,355,19.82,19.82,355
"101",220965,"São Francisco de Assis do Piauí","PI",2015,2062,113.36,0,1448
"102",220970,"São Francisco do Piauí","PI",2015,2492,100.73,0,1943
"103",220985,"São João da Canabrava","PI",2015,2270,151.22,0,1224
"104",220987,"São João da Fronteira","PI",2015,NA,NA,NA,NA
"105",220990,"São João da Serra","PI",2015,4605,305.65,0,3319
"106",220995,"São João da Varjota","PI",2015,4738,150,0,1389
"107",221000,"São João do Piauí","PI",2015,17420,1247.26,1247.26,13535
"108",221005,"São José do Divino","PI",2015,3005,187.66,0,2693
"109",221010,"São José do Peixe","PI",2015,2577,165.35,0,1840
"110",221020,"São José do Piauí","PI",2015,2584,179.03,0,1887
"111",221030,"São Julião","PI",2015,5602,326.56,274.52,2497
"112",221035,"São Lourenço do Piauí","PI",2015,1771,106.17,106.17,1102
"113",221037,"São Luis do Piauí","PI",2015,943,68.01,0,804
"114",221039,"São Miguel do Fidalgo","PI",2015,NA,NA,NA,NA
"115",221040,"São Miguel do Tapuio","PI",2015,6854,334.01,0,6497
"116",221060,"São Raimundo Nonato","PI",2015,26960,2060.22,1945.2,21680
"117",221063,"Sebastião Leal","PI",2015,1916,119.52,0,1916
"118",221070,"Simões","PI",2015,7870,489.77,489.77,5637
"119",221080,"Simplício Mendes","PI",2015,8638,595.12,0,7185
"120",221090,"Socorro do Piauí","PI",2015,2051,118.38,0,1585
"121",221093,"Sussuapara","PI",2015,NA,NA,NA,NA
"122",221095,"Tamboril do Piauí","PI",2015,NA,NA,NA,NA
"123",221097,"Tanque do Piauí","PI",2015,NA,NA,NA,NA
"124",221130,"Valença do Piauí","PI",2015,18279,1102.95,0,15586
"125",221135,"Várzea Branca","PI",2015,1460,81.3,81.3,1112
"126",221150,"Vera Mendes","PI",2015,NA,NA,NA,NA
"127",221160,"Vila Nova do Piauí","PI",2015,NA,NA,NA,NA
"128",221170,"Wall Ferraz","PI",2015,1800,102.02,0,1162
"129",230010,"Abaiara","CE",2015,3829,173.35,0,3829
"130",230015,"Acarapé","CE",2015,6154,874.06,874.06,6154
"131",230030,"Acopiara","CE",2015,18845,1316.12,1316.12,18845
"132",230040,"Aiuaba","CE",2015,NA,NA,NA,NA
"133",230050,"Alcântaras","CE",2015,2638,99.68,99.68,2638
"134",230060,"Altaneira","CE",2015,4329,216.5,216.5,4329
"135",230070,"Alto Santo","CE",2015,5764,194.37,194.37,5764
"136",230080,"Antonina do Norte","CE",2015,4532,358.46,358.46,4532
"137",230090,"Apuiarés","CE",2015,4654,259.5,259.5,4654
"138",230110,"Aracati","CE",2015,36102,3250.88,3250.88,36102
"139",230120,"Aracoiaba","CE",2015,10063,1635.07,1635.07,10063
"140",230125,"Ararendá","CE",2015,3439,215.4,0,3439
"141",230130,"Araripe","CE",2015,8760,405.08,405.08,8760
"142",230140,"Aratuba","CE",2015,3248,120.83,0,3248
"143",230150,"Arneiroz","CE",2015,3154,167.89,167.89,3154
"144",230160,"Assaré","CE",2015,10143,733.21,733.21,10143
"145",230170,"Aurora","CE",2015,10359,825.23,825.23,10359
"146",230180,"Baixio","CE",2015,3307,146.4,0,3307
"147",230185,"Banabuiú","CE",2015,9052,438.56,438.56,9052
"148",230190,"Barbalha","CE",2015,34498,2890.91,0,34498
"149",230195,"Barreira","CE",2015,7404,483.52,483.52,7404
"150",230200,"Barro","CE",2015,11332,703.03,0,11332
"151",230210,"Baturité","CE",2015,21592,1413.73,1413.73,21592
"152",230240,"Boa Viagem","CE",2015,38987,1455,1359.1,27226
"153",230250,"Brejo Santo","CE",2015,NA,NA,NA,NA
"154",230270,"Campos Sales","CE",2015,12668,746.47,746.47,12668
"155",230280,"Canindé","CE",2015,52425,1667.57,1636.45,45044
"156",230290,"Capistrano","CE",2015,4855,254.44,254.44,4855
"157",230300,"Caridade","CE",2015,4849,226.39,226.39,4849
"158",230310,"Cariré","CE",2015,5917,402.59,402.59,5917
"159",230320,"Caririaçu","CE",2015,15373,1556.22,778.11,14259
"160",230330,"Cariús","CE",2015,4403,252.86,252.86,4403
"161",230340,"Carnaubal","CE",2015,6871,568.57,534.36,6871
"162",230360,"Catarina","CE",2015,8509,362.59,362.59,8509
"163",230365,"Catunda","CE",2015,4939,142.64,142.64,4939
