"","codigo","municipio","estado","ano","pop_total_numhab","pop_urbana_numhab"
"1",220005,"Acauã","PI",2015,6933,926
"2",220025,"Alagoinha do Piauí","PI",2015,7501,2727
"3",220027,"Alegrete do Piauí","PI",2015,4832,2660
"4",220045,"Alvorada do Gurguéia","PI",2015,5278,1932
"5",220070,"Anísio de Abreu","PI",2015,9597,4750
"6",220090,"Aroazes","PI",2015,5763,3421
"7",220095,"Aroeiras do Itaim","PI",2015,2460,240
"8",220105,"Assunção do Piauí","PI",2015,7686,3460
"9",220110,"Avelino Lopes","PI",2015,11433,6936
"10",220155,"Bela Vista do Piauí","PI",2015,3919,1289
"11",220157,"Belém do Piauí","PI",2015,3464,1691
"12",220170,"Bertolínia","PI",2015,5402,3955
"13",220173,"Betânia do Piauí","PI",2015,6097,1701
"14",220180,"Bocaina","PI",2015,4436,1773
"15",220190,"Bom Jesus","PI",2015,24327,18945
"16",220192,"Bonfim do Piauí","PI",2015,5549,1682
"17",220198,"Brejo do Piauí","PI",2015,3871,1434
"18",220202,"Buriti dos Montes","PI",2015,8188,2486
"19",220207,"Cajazeiras do Piauí","PI",2015,3471,1155
"20",220209,"Caldeirão Grande do Piauí","PI",2015,5674,1663
"21",220210,"Campinas do Piauí","PI",2015,5507,1840
"22",220211,"Campo Alegre do Fidalgo","PI",2015,4911,1281
"23",220213,"Campo Grande do Piauí","PI",2015,5801,1628
"24",220225,"Canavieira","PI",2015,3904,1730
"25",220230,"Canto do Buriti","PI",2015,20700,11508
"26",220245,"Capitão Gervásio Oliveira","PI",2015,4008,1201
"27",220250,"Caracol","PI",2015,10641,4197
"28",220255,"Caridade do Piauí","PI",2015,4994,1634
"29",220260,"Castelo do Piauí","PI",2015,18160,11369
"30",220275,"Colônia do Gurguéia","PI",2015,6314,5073
"31",220277,"Colônia do Piauí","PI",2015,7527,2677
"32",220280,"Conceição do Canindé","PI",2015,4536,2395
"33",220285,"Coronel José Dias","PI",2015,4602,1511
"34",220310,"Cristino Castro","PI",2015,10214,7432
"35",220320,"Curimatá","PI",2015,11121,7321
"36",220323,"Currais","PI",2015,4845,952
"37",220327,"Curral Novo do Piauí","PI",2015,5086,1440
"38",220335,"Dirceu Arcoverde","PI",2015,6862,2435
"39",220340,"Dom Expedito Lopes","PI",2015,6756,3674
"40",220342,"Domingos Mourão","PI",2015,4290,964
"41",220345,"Dom Inocêncio","PI",2015,9387,2049
"42",220360,"Eliseu Martins","PI",2015,4807,3937
"43",220375,"Fartura do Piauí","PI",2015,5199,1369
"44",220380,"Flores do Piauí","PI",2015,4394,2000
"45",220385,"Floresta do Piauí","PI",2015,2515,872
"46",220415,"Francisco Macedo","PI",2015,3097,1247
"47",220420,"Francisco Santos","PI",2015,9054,4193
"48",220430,"Fronteiras","PI",2015,11372,7455
